Base_Transport_Fee,CrossBorder_Shipping_No,CrossBorder_Shipping_Yes,CrossBorder_Shipping_nan,Equipment_Height,Equipment_Type_Aluminium,Equipment_Type_Brass,Equipment_Type_Bronze,Equipment_Type_Clay,Equipment_Type_Marble,Equipment_Type_Stone,Equipment_Type_Wood,Equipment_Type_nan,Equipment_Value,Equipment_Weight,Equipment_Width,Fragile_Equipment_No,Fragile_Equipment_Yes,Fragile_Equipment_nan,Hospital_Info_Wealthy,Hospital_Info_Working Class,Hospital_Info_nan,Installation_Service_No,Installation_Service_Yes,Installation_Service_nan,Rural_Hospital_No,Rural_Hospital_Yes,Rural_Hospital_nan,Supplier_Reliability,Transport_Method_Airways,Transport_Method_Roadways,Transport_Method_Waterways,Transport_Method_nan,Urgent_Shipping_No,Urgent_Shipping_Yes,Urgent_Shipping_nan
17.13,True,False,False,21.0,False,False,False,False,False,False,False,True,3.62,2628.0,6.0,True,False,False,False,True,False,True,False,False,True,False,False,0.44,False,True,False,False,True,False,False
18.54,True,False,False,39.0,True,False,False,False,False,False,False,False,40.21,3305.0,15.0,True,False,False,False,True,False,True,False,False,True,False,False,0.97,False,True,False,False,True,False,False
17.48,True,False,False,8.0,False,True,False,False,False,False,False,False,4.55,606.0,5.0,True,False,False,False,True,False,True,False,False,True,False,False,0.7,False,True,False,False,True,False,False
30.23,False,True,False,27.0,False,False,False,False,True,False,False,False,2726.8,2628.0,13.0,True,False,False,False,True,False,True,False,False,False,False,True,0.66,False,True,False,False,True,False,False
63.12,True,False,False,47.0,False,False,False,False,False,False,False,True,63.71,2628.0,12.0,True,False,False,False,True,False,True,False,False,True,False,False,0.86,False,False,False,True,True,False,False
10.96,False,True,False,22.0,False,False,False,True,False,False,False,False,6.99,3990.0,12.0,False,True,False,False,True,False,True,False,False,True,False,False,0.98,False,False,True,False,True,False,False
41.03,True,False,False,27.0,False,False,True,False,False,False,False,False,28.29,6358.0,6.0,True,False,False,False,True,False,False,True,False,True,False,False,0.44,False,False,False,True,False,True,False
21.07,True,False,False,14.0,True,False,False,False,False,False,False,False,6.14,191.0,7.0,True,False,False,True,False,False,True,False,False,True,False,False,0.54,False,True,False,False,True,False,False
20.63,True,False,False,13.0,False,False,True,False,False,False,False,False,3.98,1725.0,7.0,True,False,False,False,True,False,True,False,False,True,False,False,0.52,False,False,False,True,False,True,False
71.25,True,False,False,48.0,True,False,False,False,False,False,False,False,15.51,2628.0,16.0,True,False,False,False,True,False,True,False,False,True,False,False,0.63,True,False,False,False,False,True,False
14.84,False,True,False,30.0,False,False,False,False,False,False,True,False,3.39,476.0,12.0,True,False,False,False,True,False,True,False,False,True,False,False,0.35,False,False,False,True,True,False,False
14.5,True,False,False,16.0,False,False,True,False,False,False,False,False,14.85,2148.0,6.0,True,False,False,False,True,False,False,True,False,False,True,False,0.84,False,True,False,False,False,True,False
54.61,True,False,False,28.0,False,False,False,False,False,True,False,False,4029.79,1082957.0,11.0,True,False,False,False,True,False,True,False,False,True,False,False,0.29,False,True,False,False,True,False,False
15.27,False,True,False,46.0,False,False,False,False,False,False,True,False,6.52,1110.0,17.0,True,False,False,True,False,False,True,False,False,True,False,False,0.62,True,False,False,False,False,True,False
10.77,False,True,False,15.0,False,False,True,False,False,False,False,False,6.0,2999.0,8.0,True,False,False,False,True,False,False,True,False,True,False,False,0.51,False,False,True,False,True,False,False
13.87,True,False,False,20.0,False,False,False,True,False,False,False,False,6.06,562.0,6.0,False,True,False,False,True,False,True,False,False,False,True,False,0.83,False,False,True,False,True,False,False
43.16,False,True,False,25.0,False,False,False,False,True,False,False,False,1268.35,115395.0,7.0,True,False,False,True,False,False,False,True,False,True,False,False,0.99,False,False,True,False,True,False,False
10.52,True,False,False,4.0,False,False,False,True,False,False,False,False,6.92,34.0,4.0,False,True,False,False,True,False,True,False,False,True,False,False,0.77,False,True,False,False,False,True,False
70.65,True,False,False,7.0,False,False,False,False,False,True,False,False,10.31,5046.0,8.0,True,False,False,True,False,False,False,True,False,False,False,True,0.49,False,False,False,True,False,True,False
13.29,True,False,False,19.0,False,False,False,False,False,False,False,True,6.83,3652.0,6.0,True,False,False,False,True,False,True,False,False,True,False,False,0.64,False,False,False,True,True,False,False
10.38,False,True,False,19.0,False,False,False,True,False,False,False,False,6.92,587.0,8.0,False,True,False,True,False,False,True,False,False,True,False,False,0.68,False,False,False,True,True,False,False
63.36,True,False,False,32.0,False,True,False,False,False,False,False,False,444.91,62438.0,16.0,True,False,False,True,False,False,True,False,False,True,False,False,0.9,False,True,False,False,False,True,False
24.14,True,False,False,3.0,False,False,False,False,True,False,False,False,5.45,62.0,3.0,True,False,False,False,True,False,False,True,False,True,False,False,0.66,True,False,False,False,False,True,False
87.21,True,False,False,41.0,False,False,True,False,False,False,False,False,97.34,28778.0,18.0,True,False,False,True,False,False,False,True,False,False,False,True,0.44,False,True,False,False,True,False,False
18.32,True,False,False,20.0,False,False,False,True,False,False,False,False,6.87,1802.0,9.0,False,True,False,False,True,False,True,False,False,True,False,False,0.32,True,False,False,False,False,True,False
23.15,True,False,False,15.0,False,False,False,False,False,False,True,False,4.36,73.0,7.0,True,False,False,False,True,False,True,False,False,True,False,False,0.14,False,True,False,False,True,False,False
70.73,True,False,False,26.0,False,False,False,True,False,False,False,False,6.27,5275.0,14.0,False,True,False,False,True,False,True,False,False,True,False,False,0.35,False,True,False,False,False,True,False
13.51,False,True,False,22.0,False,False,False,False,False,False,True,False,3.0,295.0,10.0,True,False,False,False,True,False,True,False,False,False,True,False,0.87,False,True,False,False,True,False,False
84.18,True,False,False,12.0,False,False,False,False,False,True,False,False,91.71,57899.0,6.0,True,False,False,False,True,False,False,True,False,True,False,False,0.21,True,False,False,False,True,False,False
10.06,False,True,False,19.0,True,False,False,False,False,False,False,False,3.63,622.0,8.0,True,False,False,False,True,False,True,False,False,True,False,False,0.51,True,False,False,False,True,False,False
95.97,False,True,False,38.0,True,False,False,False,False,False,False,False,33.66,7048.0,28.0,True,False,False,True,False,False,True,False,False,False,True,False,0.79,True,False,False,False,True,False,False
15.74,True,False,False,19.0,True,False,False,False,False,False,False,False,5.93,457.0,6.0,True,False,False,False,True,False,False,True,False,False,False,True,0.44,False,True,False,False,True,False,False
53.23,False,True,False,26.0,False,False,False,False,False,False,False,True,178.0,171678.0,12.0,True,False,False,False,True,False,False,True,False,True,False,False,0.17,False,False,False,True,False,True,False
17.19,False,True,False,11.0,False,False,True,False,False,False,False,False,6.12,1547.0,8.0,True,False,False,False,True,False,False,True,False,True,False,False,0.5,False,False,True,False,True,False,False
12.15,True,False,False,33.0,False,False,False,False,False,False,False,True,7.05,1665.0,8.0,True,False,False,False,True,False,True,False,False,False,True,False,0.4,False,True,False,False,True,False,False
23.78,True,False,False,8.0,False,False,False,False,False,False,False,True,3.88,164.0,5.0,True,False,False,False,True,False,True,False,False,True,False,False,0.58,False,False,False,True,True,False,False
17.76,True,False,False,20.0,True,False,False,False,False,False,False,False,4.22,1005.0,8.0,True,False,False,False,True,False,True,False,False,True,False,False,0.19,False,True,False,False,True,False,False
23.34,True,False,False,20.0,False,True,False,False,False,False,False,False,5.21,3328.0,8.0,True,False,False,False,True,False,True,False,False,True,False,False,0.67,False,False,False,True,True,False,False
32.61,True,False,False,23.0,False,True,False,False,False,False,False,False,43.3,18060.0,10.0,True,False,False,False,True,False,True,False,False,True,False,False,0.44,True,False,False,False,False,True,False
13.95,False,True,False,41.0,False,False,False,True,False,False,False,False,8.45,4207.0,10.0,False,True,False,True,False,False,True,False,False,False,True,False,0.15,False,False,False,True,False,True,False
