Equipment_Weight,Equipment_Value,Base_Transport_Fee,CrossBorder_Shipping,Urgent_Shipping,Installation_Service,Fragile_Equipment,Rural_Hospital,Days_to_Delivery,Order_Month_Num,Order_Weekday,Equipment_Area,Equipment_Type_Brass,Equipment_Type_Bronze,Equipment_Type_Clay,Equipment_Type_Marble,Equipment_Type_Stone,Equipment_Type_Wood,Transport_Method_Roadways,Transport_Method_Waterways,Hospital_Info_Working Class,Order_Year_Num_2016,Order_Year_Num_2017,Order_Year_Num_2018,Order_Year_Num_2019
3162.0,3.62,17.13,0,0,0,0,0,0,10,4,126.0,0,0,0,0,0,0,1,0,1,0,1,0,0
1210684.0,9703.37,35.42,0,1,1,0,0,2,2,0,580.0,0,0,0,1,0,0,1,0,1,1,0,0,0
3305.0,40.21,18.54,0,0,0,0,0,1,1,2,585.0,0,0,0,0,0,0,1,0,1,0,0,1,0
606.0,4.55,17.48,0,0,0,0,0,0,8,5,40.0,1,0,0,0,0,0,1,0,1,1,0,0,0
3162.0,2726.8,30.23,1,0,0,0,0,2,12,3,351.0,0,0,0,1,0,0,1,0,1,1,0,0,0
3162.0,63.71,63.12,0,0,0,0,0,2,6,2,564.0,0,0,0,0,0,0,1,0,1,1,0,0,0
3990.0,6.99,10.96,1,0,0,1,0,1,3,0,264.0,0,0,1,0,0,0,0,1,1,0,0,0,1
6358.0,28.29,41.03,0,1,1,0,0,2,6,1,162.0,0,1,0,0,0,0,1,0,1,1,0,0,0
191.0,6.14,21.07,0,0,0,0,0,4,2,0,98.0,0,0,0,0,0,0,1,0,0,0,0,1,0
1725.0,3.98,20.63,0,1,0,0,0,2,8,2,91.0,0,1,0,0,0,0,1,0,1,0,0,1,0
3162.0,15.51,71.25,0,1,0,0,0,3,3,2,768.0,0,0,0,0,0,0,0,0,1,0,1,0,0
476.0,3.39,14.84,1,0,0,0,0,1,7,3,360.0,0,0,0,0,0,1,1,0,1,0,1,0,0
2148.0,14.85,14.5,0,1,1,0,1,1,4,5,96.0,0,1,0,0,0,0,1,0,1,0,1,0,0
1082957.0,4029.79,54.61,0,0,0,0,0,1,2,0,308.0,0,0,0,0,1,0,1,0,1,0,0,0,1
