Supplier_Reliability,Equipment_Height,Equipment_Width,Equipment_Weight,Equipment_Value,Base_Transport_Fee,Equipment_Type_Aluminium,Equipment_Type_Brass,Equipment_Type_Bronze,Equipment_Type_Clay,Equipment_Type_Marble,Equipment_Type_Stone,Equipment_Type_Wood,Equipment_Type_nan,Installation_Service_No,Installation_Service_Yes,Installation_Service_nan,Hospital_Info_Wealthy,Hospital_Info_Working Class,Hospital_Info_nan,Urgent_Shipping_No,Urgent_Shipping_Yes,Urgent_Shipping_nan,Rural_Hospital_No,Rural_Hospital_Yes,Rural_Hospital_nan,CrossBorder_Shipping_No,CrossBorder_Shipping_Yes,CrossBorder_Shipping_nan,Fragile_Equipment_No,Fragile_Equipment_Yes,Fragile_Equipment_nan,Transport_Method_Airways,Transport_Method_Roadways,Transport_Method_Waterways,Transport_Method_nan
0.44,21.0,6.0,3137.5,3.62,17.13,False,False,False,False,False,False,False,True,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False
0.58,29.0,20.0,1210684.0,9703.37,35.42,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,True,False,False,True,False,False,True,False,False,False,True,False,False
0.97,39.0,15.0,3305.0,40.21,18.54,True,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False
0.7,8.0,5.0,606.0,4.55,17.48,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False
0.66,27.0,13.0,3137.5,2726.8,30.23,False,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,True,False,True,False,False,False,True,False,False
0.86,47.0,12.0,3137.5,63.71,63.12,False,False,False,False,False,False,False,True,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True
0.98,22.0,12.0,3990.0,6.99,10.96,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False
0.45,27.0,6.0,6358.0,28.29,41.03,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,True
0.54,14.0,7.0,191.0,6.14,21.07,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False
0.52,13.0,7.0,1725.0,3.98,20.63,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,True
0.63,48.0,16.0,3137.5,15.51,71.25,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,False
0.35,30.0,12.0,476.0,3.39,14.84,False,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True
0.84,16.0,6.0,2148.0,14.85,14.5,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,True,False,False,False,True,False,False
0.29,28.0,11.0,1082957.0,4029.79,54.61,False,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False
0.62,15.0,7.0,29259.0,98.68,35.08,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,True,False,False,False,True,False,False
0.62,46.0,17.0,1110.0,6.52,15.27,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,False,False
0.58,15.0,6.0,44125.0,86.41,88.26,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,True
0.51,15.0,8.0,2999.0,6.0,10.77,False,False,True,False,False,False,False,False,False,True,False,False,True,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False
0.83,20.0,6.0,562.0,6.06,13.87,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False
0.99,25.0,7.0,115395.0,1268.35,43.16,False,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False
0.77,4.0,4.0,34.0,6.92,10.52,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,True,False,False,False,True,False,False,True,False,False
0.49,7.0,8.0,5046.0,10.31,70.65,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,True,True,False,False,True,False,False,False,False,False,True
0.64,19.0,6.0,3652.0,6.83,13.29,False,False,False,False,False,False,False,True,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True
0.68,19.0,8.0,587.0,6.92,10.38,False,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True
0.39,37.0,28.0,5081960.0,34431.89,79.22,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False
0.9,32.0,16.0,62438.0,444.91,63.36,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,False,True,False,False
0.66,3.0,3.0,62.0,5.45,24.14,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,False
0.45,41.0,18.0,28778.0,97.34,87.21,False,False,True,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,True,True,False,False,True,False,False,False,True,False,False
0.32,20.0,9.0,1802.0,6.87,18.32,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,True,False,False,False,True,False,True,False,False,False
0.14,15.0,7.0,73.0,4.36,23.15,False,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False
0.35,26.0,14.0,5275.0,6.27,70.73,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,True,False,False,False,True,False,False,True,False,False
0.78,26.0,7.0,10936.0,61.1,98.71,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,False,False
0.87,22.0,10.0,295.0,3.0,13.51,False,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False
0.21,12.0,6.0,57899.0,91.71,84.18,False,False,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False
0.51,19.0,8.0,622.0,3.63,10.06,True,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False
0.79,38.0,28.0,7048.0,33.66,95.97,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,True,False,True,False,False,True,False,False,False
0.45,19.0,6.0,457.0,5.93,15.74,True,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,True,True,False,False,True,False,False,False,True,False,False
0.17,26.0,12.0,171678.0,178.0,53.23,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,False,True
0.5,11.0,8.0,1547.0,6.12,17.19,False,False,True,False,False,False,False,False,False,True,False,False,True,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False
0.4,33.0,8.0,1665.0,7.05,12.15,False,False,False,False,False,False,False,True,True,False,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False
0.58,8.0,5.0,164.0,3.88,23.78,False,False,False,False,False,False,False,True,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True
0.19,20.0,8.0,1005.0,4.22,17.76,True,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False
0.67,20.0,8.0,3328.0,5.21,23.34,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True
0.45,23.0,10.0,18060.0,43.3,32.61,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,False
0.15,41.0,10.0,4207.0,8.45,13.95,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True
0.82,12.0,6.0,372.0,5.77,24.75,True,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False
0.45,26.0,6.0,755.0,5.95,12.16,False,False,False,False,False,False,False,True,True,False,False,False,True,False,True,False,False,False,True,False,False,True,False,True,False,False,False,False,True,False
0.54,10.0,4.0,71.0,6.19,23.35,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False,True,True,False,False,True,False,False,False,False,False,True
0.27,13.0,7.0,3137.5,107.5,27.64,False,False,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False
0.31,20.0,14.0,22277.0,22.71,90.98,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False
0.54,11.0,7.0,252.0,5.69,13.52,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False
0.18,17.0,10.0,768.0,4.3,24.85,True,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,True,False,True,False,False,False,False,True,False
0.58,3.0,2.0,36.0,4.39,11.99,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,True,False,False,True,False,False,False,False,False,True
0.26,28.0,16.0,1626745.0,4480.78,82.99,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False
0.95,41.0,26.0,24039379.0,51410.27,28.73,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,False,True
0.3,35.0,10.0,4175.0,17.67,13.81,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,False,True,False,True,False,False,False
0.31,6.0,4.0,44.0,5.08,13.25,True,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False
0.28,30.0,10.0,1007887.0,2528.55,99.26,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,False
0.45,11.0,8.0,30937.0,149.98,33.38,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,False,True
0.96,20.0,8.0,3137.5,41.01,80.33,False,False,False,False,False,False,False,True,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True
0.45,10.0,5.0,682.0,3.95,18.68,False,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False
0.06,38.0,7.0,220.0,3.89,20.79,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,False
0.22,13.0,6.0,463.0,6.91,21.66,False,False,False,False,False,False,False,True,True,False,False,False,True,False,True,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False
0.11,16.0,8.0,153774.0,95.59,53.76,False,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True
0.52,28.0,14.0,1230732.0,3077.11,70.04,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False
0.35,40.0,26.0,27779.0,83.42,37.31,False,False,False,False,False,False,False,True,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True
0.2,11.0,6.0,12634.0,13.72,55.67,False,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False
